                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0412,                 3.9389,                 1.7769,                      0,                      0,                      0,                      0,                 1.3958,                 3.8155,                 1.3128,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                 1.8659,                 3.6209,                 1.5242,                      0,                      0,                      0,                      0,                 1.3931,                 3.6344,                 1.1925,             0.00015563,             0.00015563,             0.00015563
                      3,                 1.8331,                 2.8748,                  1.369,                      0,                      0,                      0,                      0,                 1.6402,                 3.3545,                 1.2362,             0.00023812,             0.00023812,             0.00023812
                      4,                  1.953,                  2.395,                 1.3903,                0.33333,                0.01111,                0.17222,                0.09734,                 1.7793,                 3.0752,                 1.2794,             0.00031891,             0.00031891,             0.00031891
                      5,                  1.866,                 2.1233,                 1.3357,                0.31704,                0.08161,                0.19334,                0.10229,                 1.7252,                 2.7443,                 1.2245,               0.000398,               0.000398,               0.000398
                      6,                 1.8116,                 1.9007,                 1.3249,                0.29074,                0.13052,                0.20311,                0.11389,                 1.7874,                 2.7012,                 1.2518,             0.00047539,             0.00047539,             0.00047539
                      7,                 1.8053,                 1.6868,                 1.3379,                0.31098,                 0.1304,                0.21831,                0.11399,                 1.7399,                 2.7393,                 1.2648,             0.00055109,             0.00055109,             0.00055109
                      8,                 1.8469,                 1.7166,                   1.39,                 0.4362,                 0.1304,                0.28608,                0.16133,                 1.8114,                 2.7826,                 1.3278,             0.00062509,             0.00062509,             0.00062509
                      9,                 1.8343,                 1.5647,                 1.3889,                0.43771,                 0.1834,                 0.3041,                0.14579,                 1.9711,                 2.7496,                 1.4351,             0.00069739,             0.00069739,             0.00069739
                     10,                 1.7888,                 1.5351,                 1.3206,                0.39116,                0.17203,                0.29175,                0.18245,                 1.6225,                  2.166,                 1.2441,             0.00076799,             0.00076799,             0.00076799
                     11,                 1.7651,                  1.459,                 1.2961,                0.43222,                0.20932,                 0.3373,                0.19349,                 1.6863,                 2.1325,                 1.2666,             0.00083689,             0.00083689,             0.00083689
                     12,                 1.7738,                 1.4448,                 1.3088,                0.42054,                0.16352,                0.30927,                0.20296,                 1.6102,                 1.6841,                 1.2193,              0.0009041,              0.0009041,              0.0009041
