                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1641,                 4.0908,                  1.676,                0.00211,                0.02669,                0.00112,                 0.0005,                 1.6436,                 4.0051,                 1.3217,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 2.1865,                 4.0454,                 1.6187,                0.01493,                0.12508,                0.00904,                0.00526,                 1.5494,                 3.9656,                 1.2544,             7.0743e-05,             7.0743e-05,             7.0743e-05
                      3,                  2.067,                 3.9119,                 1.5106,                0.02743,                0.27355,                0.01943,                0.01224,                 1.4364,                 3.8987,                 1.1688,             0.00011206,             0.00011206,             0.00011206
                      4,                  2.031,                 3.6331,                 1.4226,                0.04085,                0.50133,                0.03409,                0.01684,                 1.5296,                 3.8099,                 1.1552,             0.00015252,             0.00015252,             0.00015252
                      5,                 1.8832,                  3.326,                 1.3354,                0.04004,                0.53374,                0.04569,                0.02061,                 1.6717,                 3.6795,                 1.1702,             0.00019214,             0.00019214,             0.00019214
                      6,                 1.8883,                 2.9558,                 1.2815,                0.03659,                0.39521,                0.12245,                0.07043,                 1.6814,                 3.4828,                 1.1418,              0.0002309,              0.0002309,              0.0002309
                      7,                 1.8509,                 2.7119,                  1.238,                0.43858,                0.12593,                0.10887,                0.05543,                 1.7124,                 3.2556,                 1.1381,             0.00026882,             0.00026882,             0.00026882
                      8,                 1.9755,                 2.4815,                 1.2853,                0.50444,                0.08204,                0.13381,                0.06973,                  1.759,                 3.0537,                  1.149,             0.00030589,             0.00030589,             0.00030589
                      9,                 1.8712,                 2.2469,                 1.2323,                0.05781,                0.42591,                0.15705,                0.08475,                 1.8241,                 2.9661,                  1.169,             0.00034211,             0.00034211,             0.00034211
                     10,                  1.915,                 2.0583,                 1.2026,                0.06267,                0.43607,                0.18073,                0.09875,                 1.6942,                 2.7921,                 1.1145,             0.00037749,             0.00037749,             0.00037749
                     11,                 1.9145,                 1.9061,                 1.2187,                0.47556,                0.16331,                0.21472,                0.12413,                 1.7054,                 2.6224,                 1.1253,             0.00041201,             0.00041201,             0.00041201
                     12,                 1.8682,                 1.7192,                 1.2164,                0.85422,                 0.0907,                0.22312,                0.12638,                 1.7897,                 2.6591,                 1.1641,             0.00044568,             0.00044568,             0.00044568
                     13,                 1.8129,                 1.5173,                 1.1857,                0.91537,                 0.1382,                0.27147,                0.15643,                 1.6305,                 2.5515,                 1.1225,             0.00047851,             0.00047851,             0.00047851
                     14,                 1.8118,                 1.4466,                 1.1925,                0.93707,                0.14955,                0.23308,                0.12677,                 1.7211,                 2.5922,                 1.1953,             0.00051049,             0.00051049,             0.00051049
                     15,                 1.7144,                 1.3905,                 1.1773,                0.88847,                0.16464,                0.24754,                0.14026,                 1.6757,                 2.4253,                 1.1531,             0.00054161,             0.00054161,             0.00054161
                     16,                 1.7738,                 1.2951,                 1.1967,                0.92833,                0.13895,                0.19473,                 0.1079,                 1.6275,                 2.2918,                 1.1357,             0.00057189,             0.00057189,             0.00057189
                     17,                 1.7345,                 1.2608,                 1.1804,                0.88881,                 0.2475,                0.30074,                0.16689,                 1.6859,                 2.2333,                 1.1644,             0.00060132,             0.00060132,             0.00060132
                     18,                 1.7203,                 1.2613,                 1.2059,                 0.5489,                0.21684,                0.25775,                 0.1414,                 1.7708,                 2.1526,                 1.2037,              0.0006299,              0.0006299,              0.0006299
                     19,                 1.7097,                 1.2328,                 1.1845,                0.50742,                0.22261,                0.26092,                 0.1489,                 1.7175,                  2.096,                 1.1735,             0.00065764,             0.00065764,             0.00065764
                     20,                 1.6588,                 1.1857,                 1.1555,                 0.5319,                0.12218,                0.17766,                0.09473,                 1.7332,                 2.2808,                  1.188,             0.00068452,             0.00068452,             0.00068452
                     21,                  1.664,                 1.1714,                 1.1825,                0.49884,                0.11161,                0.15573,                0.06883,                 1.8798,                 2.4769,                 1.2459,             0.00071056,             0.00071056,             0.00071056
                     22,                 1.7118,                 1.2022,                 1.1791,                 0.5085,                0.10533,                0.14716,                0.06526,                 1.8916,                 2.4139,                 1.2467,             0.00073574,             0.00073574,             0.00073574
                     23,                 1.6286,                 1.1616,                   1.15,                0.50003,                0.10907,                0.15225,                0.07287,                 1.8395,                 2.2698,                 1.2252,             0.00076008,             0.00076008,             0.00076008
                     24,                 1.6933,                   1.16,                 1.1903,                 0.4789,                0.11949,                0.15435,                 0.0629,                 2.0077,                 2.1303,                 1.2807,             0.00078357,             0.00078357,             0.00078357
                     25,                 1.6407,                 1.0886,                 1.1722,                 0.7867,                0.11161,                0.14233,                0.05425,                 2.1714,                 2.1579,                  1.337,             0.00080621,             0.00080621,             0.00080621
                     26,                 1.6694,                 1.1108,                 1.1576,                0.77581,                0.07854,                0.11334,                0.05265,                 2.0734,                 2.2423,                 1.2925,               0.000828,               0.000828,               0.000828
                     27,                 1.6407,                 1.1185,                  1.151,                0.45318,                0.07922,                0.12052,                0.05784,                 2.0293,                 2.1919,                 1.2791,             0.00084894,             0.00084894,             0.00084894
                     28,                 1.6221,                 1.1121,                 1.1253,                0.47099,                0.09254,                0.13236,                0.04951,                 2.2218,                 2.0969,                  1.392,             0.00086903,             0.00086903,             0.00086903
                     29,                 1.5994,                 1.0942,                 1.1342,                0.83902,                0.10524,                0.14448,                0.05225,                 2.2097,                 1.9873,                 1.3946,             0.00088828,             0.00088828,             0.00088828
                     30,                 1.5859,                 1.0405,                 1.1477,                0.79192,                0.15009,                0.18419,                0.07481,                 2.0533,                 1.8912,                 1.3279,             0.00090667,             0.00090667,             0.00090667
                     31,                 1.5629,                 1.0383,                 1.1151,                0.88374,                0.12006,                0.16162,                0.08914,                 1.7116,                 1.8568,                 1.1796,             0.00092422,             0.00092422,             0.00092422
                     32,                 1.5887,                  1.018,                 1.1492,                0.81971,                 0.1696,                0.23025,                0.12283,                 1.6529,                 1.8876,                 1.1619,             0.00094092,             0.00094092,             0.00094092
                     33,                 1.6202,                 1.0456,                 1.1331,                0.83196,                0.22235,                0.28386,                0.16384,                 1.6551,                 1.8198,                  1.143,             0.00095677,             0.00095677,             0.00095677
                     34,                 1.5409,                0.97107,                 1.1302,                 0.6592,                0.18277,                 0.2324,                0.13269,                 1.6125,                 1.7469,                 1.1263,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.5573,                0.99122,                 1.1256,                0.67013,                0.18016,                0.23153,                0.13603,                 1.5445,                 1.6995,                 1.1073,               0.000948,               0.000948,               0.000948
                     36,                 1.5397,                0.97769,                 1.1316,                0.84571,                0.12752,                0.15952,                0.10251,                 1.5987,                  1.677,                 1.1251,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.5457,                0.96897,                 1.1395,                0.83401,                 0.1281,                0.15666,                0.09776,                 1.5948,                 1.6645,                 1.1231,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.4882,                0.98502,                  1.092,                0.81407,                0.19858,                0.23769,                0.13714,                 1.6068,                 1.6589,                 1.1182,             0.00090556,             0.00090556,             0.00090556
                     39,                  1.593,                 1.0029,                 1.1405,                0.76979,                0.21857,                 0.2441,                0.13501,                  1.612,                  1.654,                 1.1094,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.5302,                0.99038,                 1.1097,                0.78172,                0.20994,                0.24319,                0.13373,                 1.6488,                 1.6581,                  1.129,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.5612,                0.99127,                  1.101,                0.81214,                0.12797,                0.17071,                0.10225,                 1.5651,                  1.575,                 1.1047,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.5407,                0.96427,                 1.1142,                0.80577,                 0.1318,                0.17391,                0.10719,                 1.5336,                 1.4902,                 1.1131,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.4252,                0.92836,                 1.0958,                0.65605,                0.26349,                0.29671,                0.17457,                  1.592,                  1.508,                 1.1335,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.4931,                0.94093,                 1.0986,                0.79809,                 0.1318,                0.16242,                  0.094,                 1.5855,                 1.5336,                 1.1315,             0.00082067,             0.00082067,             0.00082067
